"string","num","next_word","nchar"
NA,24,"work",NA
NA,24,"to",NA
NA,23,"post",NA
NA,23,"with",NA
NA,23,"do",NA
NA,23,"of",NA
NA,23,"the",NA
NA,23,"last",NA
NA,23,"my",NA
NA,23,"me",NA
NA,23,"my",NA
NA,23,"are",NA
NA,23,"to",NA
NA,23,"cholesterol",NA
NA,23,"mg",NA
NA,23,"good",NA
NA,23,"dollars",NA
NA,23,"i",NA
NA,23,"should",NA
NA,23,"back",NA
NA,23,"know",NA
NA,23,"hear",NA
NA,23,"the",NA
NA,23,"and",NA
NA,23,"and",NA
NA,23,"the",NA
NA,23,"age",NA
NA,23,"corner",NA
NA,23,"corner",NA
NA,23,"to",NA
NA,23,"be",NA
NA,23,"we",NA
NA,23,"you",NA
NA,23,"to",NA
NA,23,"the",NA
NA,23,"because",NA
NA,23,"the",NA
NA,23,"i",NA
NA,23,"the",NA
NA,23,"sodium",NA
NA,23,"g",NA
NA,23,"to",NA
NA,23,"swag",NA
NA,23,"me",NA
NA,23,"looking",NA
NA,23,"came",NA
NA,23,"doubt",NA
NA,23,"administration",NA
NA,23,"new",NA
NA,23,"united",NA
NA,23,"the",NA
NA,23,"the",NA
NA,23,"have",NA
NA,23,"to",NA
NA,23,"time",NA
NA,23,"the",NA
NA,23,"with",NA
NA,23,"you",NA
NA,23,"means",NA
NA,22,"before",NA
NA,22,"to",NA
NA,22,"least",NA
NA,22,"can",NA
NA,22,"the",NA
NA,22,"the",NA
NA,22,"the",NA
NA,22,"got",NA
NA,22,"damn",NA
NA,22,"to",NA
NA,22,"way",NA
NA,22,"hours",NA
NA,22,"mg",NA
NA,22,"great",NA
NA,22,"in",NA
NA,22,"mother",NA
NA,22,"dollars",NA
NA,22,"with",NA
NA,22,"of",NA
NA,22,"hear",NA
NA,22,"can",NA
NA,22,"twitter",NA
NA,22,"to",NA
NA,22,"to",NA
NA,22,"in",NA
NA,22,"above",NA
NA,22,"public",NA
NA,22,"fun",NA
NA,22,"of",NA
NA,22,"the",NA
NA,22,"time",NA
NA,22,"things",NA
NA,22,"protein",NA
NA,22,"the",NA
NA,22,"would",NA
NA,22,"love",NA
NA,22,"the",NA
NA,22,"by",NA
NA,22,"years",NA
NA,22,"sure",NA
NA,22,"for",NA
NA,22,"see",NA
NA,22,"weekend",NA
NA,22,"are",NA
NA,22,"about",NA
NA,21,"is",NA
NA,21,"that",NA
NA,21,"of",NA
NA,21,"boil",NA
NA,21,"to",NA
NA,21,"what",NA
NA,21,"you",NA
NA,21,"to",NA
NA,21,"the",NA
NA,21,"each",NA
NA,21,"california",NA
NA,21,"it",NA
NA,21,"most",NA
NA,21,"to",NA
NA,21,"to",NA
NA,21,"is",NA
NA,21,"weeks",NA
NA,21,"i",NA
NA,21,"the",NA
NA,21,"win",NA
NA,21,"world",NA
NA,21,"life",NA
NA,21,"you",NA
NA,21,"good",NA
NA,21,"try",NA
NA,21,"go",NA
NA,21,"it",NA
